Ticker;Link;Preço;Dividendo;Dividend Yield;P/VP;Data
BBVJ11;https://fundsexplorer.com.br/funds/BBVJ11;62.50;0.00;0.61;1.09;2020/10/22
PRSV11;https://fundsexplorer.com.br/funds/PRSV11;390.00;1.62;0.42;1.07;2020/10/22
RBIV11;https://fundsexplorer.com.br/funds/RBIV11;84.50;0.12;0.65;0.86;2020/10/22
FVPQ11;https://fundsexplorer.com.br/funds/FVPQ11;153.85;0.08;0.05;0.72;2020/10/22
XPHT11;https://fundsexplorer.com.br/funds/XPHT11;93.00;0.34;0.40;0.74;2020/10/22
MORE11;https://fundsexplorer.com.br/funds/MORE11;111.25;0.37;0.81;1.11;2020/10/22
RECT11;https://fundsexplorer.com.br/funds/RECT11;96.02;0.72;0.74;1.00;2020/10/22
SDIL11;https://fundsexplorer.com.br/funds/SDIL11;100.80;0.55;0.54;1.05;2020/10/22
URPR11;https://fundsexplorer.com.br/funds/URPR11;112.50;1.56;1.94;1.11;2020/10/22
PVBI11;https://fundsexplorer.com.br/funds/PVBI11;99.34;0.45;0.45;1.03;2020/10/22
BCIA11;https://fundsexplorer.com.br/funds/BCIA11;123.11;0.60;0.48;1.04;2020/10/22
CXRI11;https://fundsexplorer.com.br/funds/CXRI11;162.29;0.70;0.38;16.37;2020/10/22
FLRP11;https://fundsexplorer.com.br/funds/FLRP11;1340.00;0.00;0.21;0.84;2020/10/22
NVIF11B;https://fundsexplorer.com.br/funds/NVIF11B;0.00;0.89;0.00;0.00;2020/10/22
CXCE11B;https://fundsexplorer.com.br/funds/CXCE11B;105.49;0.92;0.90;1.22;2020/10/22
HCTR11;https://fundsexplorer.com.br/funds/HCTR11;143.59;2.25;1.70;1.23;2020/10/22
MXRF11;https://fundsexplorer.com.br/funds/MXRF11;10.65;0.07;0.64;1.06;2020/10/22
RBRP11;https://fundsexplorer.com.br/funds/RBRP11;93.42;0.57;0.61;1.09;2020/10/22
